ANIO_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;12;411;829517240;28-Nov-22;CSW;35598759;66672
2022;12;411;778296491;28-Nov-22;CSW;35598759;66672
2022;12;411;109958924;28-Nov-22;CSW;35598759;66672
2022;12;411;547885459;28-Nov-22;CSW;35598759;66672
2022;12;411;649939626;28-Nov-22;CSW;35598759;66672
2022;12;411;367015556;28-Nov-22;CSW;35598759;63929
2022;12;411;426180613;28-Nov-22;CSW;35598759;27686
2022;12;411;426178000;28-Nov-22;CSW;35598759;27038
2022;12;411;542956801;28-Nov-22;CSW;35598759;27686
2022;12;411;143180833;28-Nov-22;CSW;35598759;66672
2022;12;411;988155876;28-Nov-22;CSW;35598759;41328
2022;12;411;317082693;28-Nov-22;CSW;35598759;19672
2022;12;411;312498937;28-Nov-22;CSW;35598759;19672
2022;12;411;379238924;28-Nov-22;CSW;35598759;19672
2022;12;411;379237147;28-Nov-22;CSW;35598759;19672
2022;12;411;415622062;28-Nov-22;CSW;35598759;19672
2022;12;411;420515949;28-Nov-22;CSW;35598759;19672
2022;12;411;431406896;28-Nov-22;CSW;35598759;27686
2022;12;411;146679689;28-Nov-22;CSW;35598759;27686
2022;12;411;428007951;28-Nov-22;CSW;35598759;27686
2022;12;411;436842987;28-Nov-22;CSW;35598759;27686
2022;12;411;116416939;28-Nov-22;CSW;35598759;27686
2022;12;411;423228635;28-Nov-22;CSW;35598759;27686
2022;12;411;430586886;28-Nov-22;CSW;35598759;27686
2022;12;411;434421496;28-Nov-22;CSW;35598759;27686
2022;12;411;424706007;28-Nov-22;CSW;35598759;27686
2022;12;411;315301207;28-Nov-22;CSW;35598759;19672
2022;12;411;142966134;28-Nov-22;CSW;35598759;27686
2022;12;411;143051136;28-Nov-22;CSW;35598759;27686
2022;12;411;144056900;28-Nov-22;CSW;35598759;43055
2022;12;411;142504088;28-Nov-22;CSW;35598759;27686
2022;12;411;354342809;28-Nov-22;CSW;35598759;27038
2022;12;411;124956489;28-Nov-22;CSW;35598759;27686
2022;12;411;124955602;28-Nov-22;CSW;35598759;27686
2022;12;411;144030460;28-Nov-22;CSW;35598759;27686
2022;12;411;434729033;28-Nov-22;CSW;35598759;27686
2022;12;411;913135034;28-Nov-22;CSW;35598759;27686
2022;12;411;424563566;28-Nov-22;CSW;35598759;27686
2022;12;411;435189644;28-Nov-22;CSW;35598759;66672
2022;12;411;344375120;28-Nov-22;CSW;35598759;27686
2022;12;411;426308311;28-Nov-22;CSW;35598759;27686
2022;12;411;421564686;28-Nov-22;CSW;35598759;27686
2022;12;411;137578147;28-Nov-22;CSW;35598759;27686
2022;12;411;441792957;28-Nov-22;CSW;35598759;27686
2022;12;411;319004883;28-Nov-22;CSW;35598759;27686
2022;12;411;433063539;28-Nov-22;CSW;35598759;27686
2022;12;411;433058575;28-Nov-22;CSW;35598759;27686
2022;12;411;663656702;28-Nov-22;CSW;35598759;27686
2022;12;411;309230159;28-Nov-22;CSW;35598759;65757
2022;12;411;375837203;28-Nov-22;CSW;35598759;27686
2022;12;411;305624940;28-Nov-22;CSW;35598759;28594
2022;12;411;141121478;28-Nov-22;CSW;35598759;27686
2022;12;411;431162701;28-Nov-22;CSW;35598759;27686
2022;12;411;431163598;28-Nov-22;CSW;35598759;27686
2022;12;411;431164375;28-Nov-22;CSW;35598759;27686
2022;12;411;431165052;28-Nov-22;CSW;35598759;27686
2022;12;411;419864462;28-Nov-22;CSW;35598759;27686
2022;12;411;888616043;28-Nov-22;CSW;35598759;27686
2022;12;411;304062331;28-Nov-22;CSW;35598759;27686
2022;12;411;139333920;28-Nov-22;CSW;35598759;27686
2022;12;411;289004463;28-Nov-22;CSW;35598759;27686
2022;12;411;284466044;28-Nov-22;CSW;35598759;27686
2022;12;411;276206047;28-Nov-22;CSW;35598759;27686
2022;12;411;349128957;28-Nov-22;CSW;35598759;27686
2022;12;411;282887919;28-Nov-22;CSW;35598759;27686
2022;12;411;326090896;28-Nov-22;CSW;35598759;66672
2022;12;411;210522952;28-Nov-22;CSW;35598759;66672
2022;12;411;326909941;28-Nov-22;CSW;35598759;66672
2022;12;411;279017836;28-Nov-22;CSW;35598759;27686
2022;12;411;314283337;28-Nov-22;CSW;35598759;66672
2022;12;411;412891455;28-Nov-22;CSW;35598759;66672
2022;12;411;428813008;28-Nov-22;CSW;35598759;52006
2022;12;411;428812221;28-Nov-22;CSW;35598759;52006
2022;12;411;112932958;28-Nov-22;CSW;35598759;27686
2022;12;411;923295082;28-Nov-22;CSW;35598759;27686
2022;12;411;389708979;28-Nov-22;CSW;35598759;66672
2022;12;411;944875469;28-Nov-22;CSW;35598759;66672
2022;12;411;745815106;28-Nov-22;CSW;35598759;27686
2022;12;411;310774544;28-Nov-22;CSW;35598759;55092
2022;12;411;270323987;28-Nov-22;CSW;35598759;19672
2022;12;411;605695647;28-Nov-22;CSW;35598759;19672
2022;12;411;206234781;28-Nov-22;CSW;35598759;47473
2022;12;411;341605441;28-Nov-22;CSW;35598759;17346
2022;12;411;443971764;28-Nov-22;CSW;35598759;17346
2022;12;411;208319413;28-Nov-22;CSW;35598759;17346
2022;12;411;437373415;28-Nov-22;CSW;35598759;27686
2022;12;411;437583818;28-Nov-22;CSW;35598759;27686
2022;12;411;304178769;28-Nov-22;CSW;35598759;27686
2022;12;411;875035818;28-Nov-22;CSW;35598759;27686
2022;12;411;875075404;28-Nov-22;CSW;35598759;27686
2022;12;411;440155071;28-Nov-22;CSW;35598759;27686
2022;12;411;198778302;28-Nov-22;CSW;35598759;66672
2022;12;411;442730808;28-Nov-22;CSW;35598759;27686
2022;12;411;442729072;28-Nov-22;CSW;35598759;27686
2022;12;411;442738164;28-Nov-22;CSW;35598759;27686
2022;12;411;431634573;28-Nov-22;CSW;35598759;27686
2022;12;411;431639488;28-Nov-22;CSW;35598759;27686
2022;12;411;431641001;28-Nov-22;CSW;35598759;27686
2022;12;411;431644442;28-Nov-22;CSW;35598759;10000
2022;12;411;431649357;28-Nov-22;CSW;35598759;12000
2022;12;411;431652757;28-Nov-22;CSW;35598759;8000
2022;12;411;431656885;28-Nov-22;CSW;35598759;11000
2022;12;411;431657662;28-Nov-22;CSW;35598759;13500
